pertanyaan,label
Apa langkah-langkah penawaran mata_kuliah di STIKOM?,0
Bagaimana cara mendaftar mata_kuliah di STIKOM 22 Januari?,0
Apa prosedur penawaran mata_kuliah di STIKOM?,0
Bagaimana langkah-langkah pengisian KRS di STIKOM?,0
Apa tahapan penawaran mata kuliah di STIKOM?,0
Bagaimana cara mengambil mata kuliah di STIKOM?,0
Bagaimana proses penawaran mata kuliah di STIKOM 22 Januari?,0
Apa langkah-langkah pengambilan mata kuliah di STIKOM?,0
Bagaimana cara mengisi KRS di STIKOM?,0
Cara daftar matkul di STIKOM gimana?,0
STIKOM punya prosedur apa untuk daftar mata kuliah?,0
Langkah-langkah penawaran mata kuliah di STIKOM apa saja?,0
"Mau daftar mata kuliah di STIKOM, harus ngapain?",0
"Kalau mau daftar matkul semester depan, caranya gimana?",0
Apa yang harus dilakukan setelah bayar SPP untuk daftar matkul?,0
Daftar matkul STIKOM gimana?,0
Cara daftar matkul?,0
Gimana sih cara daftar matkul di STIKOM?,0
Langkah2 penawaran matkul di STIKOM apa?,0
Apa saja prospek kerja untuk lulusan Sistem Informasi?,1
Bagaimana prospek kerja di bidang Sistem Informasi?,1
Apa peluang kerja untuk lulusan Sistem Informasi?,1
Apa saja pekerjaan yang bisa dilakukan oleh lulusan Sistem Informasi?,1
Apa karir yang tersedia untuk lulusan Sistem Informasi?,1
Apa saja pilihan karir untuk lulusan Sistem Informasi?,1
Apa prospek karir di bidang Sistem Informasi?,1
Apa pekerjaan yang cocok untuk lulusan Sistem Informasi?,1
Apa saja peluang kerja di bidang Sistem Informasi?,1
Apa jenis pekerjaan yang bisa dilakukan oleh lulusan Sistem Informasi?,1
Lulusan SI bisa kerja di mana?,1
Prospek kerja jurusan Sistem Informasi apa aja?,1
"Kalau lulus SI, kerja jadi apa?",1
Apa aja sih peluang kerja buat lulusan SI?,1
Kerja apa yang cocok buat lulusan Sistem Informasi?,1
Jurusan SI punya prospek kerja bagus nggak?,1
Apa aja sih pekerjaan buat lulusan SI?,1
Lulusan Sistem Informasi biasanya kerja di bidang apa?,1
Prospek karir lulusan SI gimana?,1
Kerja apa yang bisa dilakukan setelah lulus SI?,1
Apa saja prospek kerja untuk lulusan Teknik Komputer?,2
Bagaimana prospek kerja di bidang Teknik Komputer?,2
Apa peluang kerja untuk lulusan Teknik Komputer?,2
Apa saja pekerjaan yang bisa dilakukan oleh lulusan Teknik Komputer?,2
Apa karir yang tersedia untuk lulusan Teknik Komputer?,2
Apa saja pilihan karir untuk lulusan Teknik Komputer?,2
Apa prospek karir di bidang Teknik Komputer?,2
Apa pekerjaan yang cocok untuk lulusan Teknik Komputer?,2
Apa saja peluang kerja di bidang Teknik Komputer?,2
Apa jenis pekerjaan yang bisa dilakukan lulusan TK?,2
Lulusan TK bisa kerja di mana?,2
Prospek kerja jurusan Teknik Komputer apa saja?,2
"Kalau lulus TK, kerja jadi apa?",2
Apa saja peluang kerja buat lulusan TK?,2
Kerja apa yang cocok buat lulusan Teknik Komputer?,2
Jurusan TK punya prospek kerja bagus nggak?,2
Apa saja pekerjaan buat lulusan TK?,2
Lulusan Teknik Komputer biasanya kerja di bidang apa?,2
"Setelah lulus TK, karirnya seperti apa?",2
Apa saja mata_kuliah di program studi Teknik Komputer?,3
Bisa sebutkan mata_kuliah Teknik Komputer di STIKOM?,3
Apa daftar mata_kuliah untuk Teknik Komputer?,3
Apa saja mata_kuliah yang diajarkan di Teknik Komputer?,3
Bisa berikan daftar mata_kuliah Teknik Komputer?,3
Apa mata_kuliah yang ada di prodi Teknik Komputer?,3
Apa saja mata_kuliah di jurusan Teknik Komputer?,3
Bisa sebutkan daftar mata_kuliah Teknik Komputer?,3
Apa mata_kuliah yang dipelajari di Teknik Komputer?,3
Apa saja mata_kuliah yang tersedia di Teknik Komputer?,3
mata_kuliah apa aja yang ada di teknik komputer?,3
Daftar matkul Teknik Komputer apa saja?,3
Apa aja sih mata kuliah di jurusan teknik komputer?,3
"Kalau ambil TK, belajar apa aja?",3
Mata kuliah TK di STIKOM apa aja?,3
Apa saja matkul yang diajarkan di Teknik Komputer?,3
Bisa kasih tahu daftar matkul teknik komputer?,3
Apa aja sih yang dipelajari di Teknik Komputer?,3
Mata kuliah apa yang ada di prodi teknik komputer?,3
Daftar lengkap matkul teknik komputer apa?,3
apasih matkul dari teknik komputer ,3
Apa saja mata_kuliah di program studi Sistem Informasi?,4
Bisa sebutkan mata_kuliah Sistem Informasi di STIKOM?,4
Apa daftar mata_kuliah untuk Sistem Informasi?,4
Apa saja mata_kuliah yang diajarkan di Sistem Informasi?,4
Bisa berikan daftar mata_kuliah Sistem Informasi?,4
Apa mata_kuliah yang ada di prodi Sistem Informasi?,4
Apa saja mata_kuliah di jurusan Sistem Informasi?,4
Bisa sebutkan daftar mata_kuliah Sistem Informasi?,4
Apa mata_kuliah yang dipelajari di Sistem Informasi?,4
Apa saja mata kuliah yang tersedia di Sistem Informasi?,4
Mata kuliah apa aja yang ada di SI?,4
Daftar matkul Sistem Informasi apa saja?,4
Apa aja sih mata kuliah di jurusan SI?,4
"Kalau ambil SI, belajar apa aja?",4
Mata kuliah SI di STIKOM apa aja?,4
Apa saja matkul yang diajarkan di Sistem Informasi?,4
Bisa kasih tahu daftar matkul SI?,4
Apa aja sih yang dipelajari di Sistem Informasi?,4
Mata kuliah apa yang ada di prodi SI?,4
Daftar lengkap matkul SI apa?,4
Apa perbedaan antara Teknik Komputer dan Sistem Informasi?,5
Bagaimana membedakan Teknik Komputer dan Sistem Informasi?,5
Apa bedanya Teknik Komputer dengan Sistem Informasi?,5
Apa perbedaan TK dan SI?,5
Bagaimana perbedaan antara TK dan SI?,5
Apa perbedaan jurusan Teknik Komputer dan Sistem Informasi?,5
Apa beda Teknik Komputer dan Sistem Informasi?,5
Apa perbedaan prodi TK dan SI?,5
Bagaimana membedakan TK dan SI?,5
Apa perbedaan antara Teknik Komputer (TK) dan Sistem Informasi (SI)?,5
TK sama SI bedanya apa?,5
Jurusan TK dan SI itu beda ya?,5
Apa aja sih perbedaan TK sama SI?,5
"Kalau mau ambil TK atau SI, bedanya apa?",5
TK itu lebih ke hardware ya?,5
SI lebih ke software atau hardware?,5
Apa beda fokus TK dan SI?,5
"TK sama SI, mana yang lebih cocok buat saya?",5
Apa perbedaan utama TK dan SI?,5
Jurusan TK dan SI itu mirip atau beda?,5
Siapa saja dosen di STIKOM 22 Januari Kendari?,6
Apa nama-nama dosen di STIKOM?,6
Bisa sebutkan nama dosen di STIKOM 22 Januari?,6
Siapa dosen yang mengajar di STIKOM?,6
Apa saja nama dosen di kampus STIKOM?,6
Bisa berikan daftar dosen di STIKOM?,6
Siapa saja pengajar di STIKOM 22 Januari Kendari?,6
Apa nama dosen yang ada di STIKOM?,6
Bisa sebutkan nama-nama dosen di STIKOM 22 Januari?,6
Siapa saja dosen yang mengajar di STIKOM?,6
Dosen STIKOM siapa aja?,6
Siapa aja dosen di STIKOM 22 Januari?,6
Bisa kasih tahu daftar dosen STIKOM?,6
Apa aja sih nama dosen di STIKOM?,6
Dosen yang ngajar di STIKOM siapa?,6
Siapa aja pengajar di STIKOM?,6
Dosen STIKOM ada siapa aja?,6
Bisa sebutin nama dosen STIKOM?,6
Siapa aja yang ngajar di STIKOM 22 Januari?,6
Dosen di STIKOM siapa saja?,6
Apa saja fasilitas yang ada di kampus STIKOM?,7
Bisa sebutkan fasilitas di STIKOM 22 Januari Kendari?,7
Apa fasilitas yang tersedia di STIKOM?,7
Apa saja fasilitas kampus STIKOM?,7
Bisa berikan daftar fasilitas di STIKOM?,7
Apa fasilitas yang ada di kampus STIKOM 22 Januari?,7
Apa saja fasilitas yang disediakan oleh STIKOM?,7
Bisa sebutkan fasilitas yang ada di STIKOM?,7
Apa fasilitas yang dimiliki oleh STIKOM?,7
Apa saja fasilitas yang bisa dinikmati di STIKOM?,7
Fasilitas STIKOM apa aja?,7
Apa aja sih fasilitas di STIKOM?,7
STIKOM punya fasilitas apa?,7
Fasilitas kampus STIKOM ada apa saja?,7
Bisa kasih tahu fasilitas STIKOM?,7
Apa aja yang ada di kampus STIKOM?,7
Fasilitas di STIKOM 22 Januari apa?,7
STIKOM punya fasilitas lengkap nggak?,7
Apa aja fasilitas yang disediakan STIKOM?,7
Fasilitas STIKOM lengkap nggak?,7
Apa sejarah STIKOM 22 Januari Kendari?,8
Bagaimana sejarah berdirinya STIKOM?,8
Bisa ceritakan sejarah STIKOM 22 Januari?,8
Apa latar belakang berdirinya STIKOM?,8
Bagaimana awal mula STIKOM 22 Januari Kendari?,8
Apa sejarah berdirinya STIKOM 22 Januari?,8
Bisa jelaskan sejarah STIKOM?,8
Apa asal-usul STIKOM 22 Januari Kendari?,8
Bagaimana sejarah pendirian STIKOM?,8
Apa cerita di balik berdirinya STIKOM 22 Januari?,8
Sejarah STIKOM gimana?,8
Bisa ceritain sejarah STIKOM?,8
Apa aja sih sejarah STIKOM 22 Januari?,8
STIKOM berdiri sejak kapan?,8
Bagaimana awal berdirinya STIKOM?,8
Apa latar belakang STIKOM 22 Januari?,8
STIKOM didirikan oleh siapa?,8
Bisa kasih tahu sejarah STIKOM?,8
Apa aja yang perlu diketahui tentang sejarah STIKOM?,8
STIKOM 22 Januari punya sejarah apa?,8
Apa visi dan misi STIKOM 22 Januari Kendari?,9
Bagaimana visi dan misi kampus STIKOM?,9
Bisa sebutkan visi dan misi STIKOM?,9
Apa tujuan STIKOM 22 Januari?,9
Bagaimana STIKOM mencapai visi dan misinya?,9
Apa yang menjadi fokus STIKOM dalam pendidikan?,9
Bagaimana STIKOM berkontribusi pada masyarakat?,9
Apa nilai-nilai yang dianut oleh STIKOM?,9
Bagaimana STIKOM mempersiapkan mahasiswa untuk masa depan?,9
Apa keunggulan STIKOM dibanding kampus lain?,9
Visi misi STIKOM apa?,9
Apa aja sih visi misi STIKOM?,9
STIKOM punya visi misi apa?,9
Bisa kasih tahu visi misi STIKOM?,9
Apa tujuan utama STIKOM?,9
STIKOM fokus ke apa?,9
Apa aja nilai-nilai STIKOM?,9
STIKOM punya keunggulan apa?,9
Bagaimana STIKOM membangun masa depan mahasiswa?,9
Apa aja sih keunggulan STIKOM?,9
Apa itu Teknik Komputer?,10
Apa definisi Teknik Komputer?,10
Bisa jelaskan pengertian Teknik Komputer?,10
Apa yang dimaksud dengan Teknik Komputer?,10
Apa arti dari Teknik Komputer?,10
Bisa berikan penjelasan tentang Teknik Komputer?,10
Apa pengertian dari Teknik Komputer?,10
Apa itu jurusan Teknik Komputer?,10
Bisa jelaskan apa itu Teknik Komputer?,10
Apa makna Teknik Komputer?,10
Teknik Komputer itu apa sih?,10
Jurusan TK itu belajar apa?,10
Apa fokus utama Teknik Komputer?,10
Teknik Komputer itu lebih ke hardware atau software?,10
Apa saja yang diajarkan di jurusan TK?,10
Apa yang jadi dasar ilmu Teknik Komputer?,10
Teknik Komputer itu mencakup apa saja?,10
Apa bedanya Teknik Komputer dengan jurusan lain?,10
Jam berapa dosen biasanya datang ke kampus?,11
Bagaimana jadwal kedatangan dosen di STIKOM?,11
Kapan dosen biasanya hadir di kampus?,11
Apa jam kerja dosen di STIKOM?,11
Bagaimana ketepatan waktu dosen datang ke kampus?,11
Jam berapa dosen mulai mengajar di STIKOM?,11
Kapan dosen tersedia untuk konsultasi di kampus?,11
Bagaimana sistem kehadiran dosen di STIKOM?,11
Apa jam kedatangan dosen di STIKOM 22 Januari?,11
Kapan dosen biasanya berada di kampus?,11
Dosen STIKOM jam berapa datang?,11
Jam berapa dosen mulai ngajar?,11
Kapan dosen ada di kampus?,11
Dosen STIKOM jam berapa hadir?,11
Apa aja sih jam kerja dosen?,11
Dosen biasanya jam berapa datang?,11
Jam berapa dosen STIKOM mulai kerja?,11
Kapan dosen bisa ditemui di kampus?,11
Dosen STIKOM jam berapa masuk?,11
Jam kerja dosen STIKOM gimana?,11
Bagaimana proses penawaran mata_kuliah  di STIKOM?,12
Apa langkah-langkah penawaran mata kuliah ?,12
Bagaimana cara menawar mata_kuliah ?,12
Apa syarat untuk menawar matakuliah ?,12
Bagaimana alur penawaran hingga skripsi?,12
Apa yang harus dilakukan setelah penawaran mata_kuliah ?,12
Bagaimana cara memulai skripsi setelah penawaran?,12
Apa hubungan antara penawaran mata_kuliah  dan skripsi?,12
Bagaimana proses akademik dari penawaran hingga skripsi?,12
Apa tahapan skripsi di STIKOM?,12
Cara mulai skripsi setelah penawaran gimana?,12
Apa aja sih tahapan skripsi?,12
Bagaimana alur penawaran sampai skripsi?,12
Apa yang harus dilakukan setelah penawaran matkul?,12
Proses skripsi di STIKOM gimana?,12
Bagaimana cara mulai skripsi?,12
Apa aja sih langkah-langkah skripsi?,12
Apa aja sih tahapan skripsi di STIKOM?,12
Bagaimana proses skripsi di STIKOM?,12
Bagaimana proses perbaikan nilai di STIKOM?,13
Apa yang harus dilakukan jika mendapat nilai kurang?,13
Bagaimana cara mengajukan perbaikan nilai?,13
Bagaimana prosedur program ulang mata kuliah?,13
Apa langkah-langkah perbaikan nilai di STIKOM?,13
Bagaimana cara mengikuti SP di STIKOM?,13
Apa syarat untuk mengikuti program ulang mata kuliah?,13
Bagaimana alur perbaikan nilai dan SP di STIKOM?,13
Apa yang harus dilakukan jika ingin memperbaiki nilai?,13
Cara perbaikan nilai di STIKOM gimana?,13
Apa aja sih langkah-langkah perbaikan nilai?,13
Bagaimana cara ikut SP?,13
Apa aja sih syarat program ulang?,13
Bagaimana alur perbaikan nilai?,13
Cara ikut SP di STIKOM gimana?,13
Apa aja sih tahapan perbaikan nilai?,13
Bagaimana proses program ulang matkul?,13
Apa aja sih langkah-langkah SP?,13
Bagaimana cara memperbaiki nilai di STIKOM?,13
Apa berita terbaru di kampus STIKOM?,14
Bagaimana cara mengetahui berita kampus STIKOM?,14
Apa informasi terbaru seputar STIKOM 22 Januari?,14
Di mana bisa melihat berita resmi kampus STIKOM?,14
Apa kegiatan terbaru di STIKOM 22 Januari?,14
Bagaimana cara mengakses berita kampus STIKOM?,14
Apa pengumuman terbaru dari kampus STIKOM?,14
Di mana bisa mendapatkan informasi terbaru tentang STIKOM?,14
Apa acara terbaru yang diadakan oleh STIKOM?,14
Bagaimana cara mengetahui update berita kampus?,14
Berita terbaru STIKOM apa?,14
Apa aja sih berita terbaru di STIKOM?,14
Di mana bisa lihat berita STIKOM?,14
Apa aja sih kegiatan terbaru di STIKOM?,14
Bagaimana cara cek berita kampus?,14
Apa aja sih pengumuman terbaru STIKOM?,14
Di mana bisa dapat info terbaru STIKOM?,14
Apa aja sih acara terbaru di STIKOM?,14
Bagaimana cara update berita kampus?,14
Apa aja sih info terbaru STIKOM?,14
Apa alamat lengkap kampus STIKOM?,15
Bagaimana akreditasi kampus STIKOM?,15
Apa program studi yang tersedia di STIKOM?,15
Apa saja fasilitas yang ada di kampus?,15
Apa visi dan misi kampus STIKOM?,15
Apa saja kegiatan akademik di STIKOM?,15
Bagaimana cara menghubungi administrasi kampus?,15
Alamat STIKOM di mana?,15
Apa aja sih prodi di STIKOM?,15
Apa aja sih fasilitas STIKOM?,15
Bagaimana sistem kuliah di STIKOM?,15
Apa aja sih kegiatan akademik STIKOM?,15
Bagaimana cara hubungi admin STIKOM?,15
Apa aja sih info umum STIKOM?,15
Bagaimana cara mendaftar sebagai mahasiswa baru di STIKOM?,16
Apa syarat pendaftaran mahasiswa baru?,16
Di mana saya bisa mendapatkan formulir pendaftaran?,16
Berapa biaya pendaftaran mahasiswa baru?,16
Apa dokumen yang diperlukan untuk pendaftaran?,16
Bagaimana alur pendaftaran mahasiswa baru?,16
Kapan pendaftaran mahasiswa baru dibuka?,16
Apakah ada tes masuk untuk mahasiswa baru?,16
Bagaimana cara mengisi formulir pendaftaran?,16
Di mana saya bisa melihat pengumuman pendaftaran?,16
Cara daftar mahasiswa baru di STIKOM gimana?,16
Apa aja sih syarat pendaftaran?,16
Di mana bisa ambil formulir pendaftaran?,16
Berapa biaya daftar mahasiswa baru?,16
Apa aja sih dokumen yang dibutuhkan?,16
Bagaimana alur pendaftaran?,16
Kapan pendaftaran dibuka?,16
Ada tes masuk nggak?,16
Bagaimana cara isi formulir pendaftaran?,16
Di mana bisa lihat pengumuman pendaftaran?,16
Bagaimana jadwal perkuliahan di STIKOM?,17
Apa kegiatan akademik yang ada di STIKOM?,17
Bagaimana sistem perkuliahan di STIKOM?,17
Apa saja kegiatan yang dilakukan selama perkuliahan?,17
Bagaimana cara mengikuti kegiatan akademik di STIKOM?,17
Apa yang harus dilakukan selama perkuliahan di STIKOM?,17
Bagaimana cara mengetahui jadwal akademik di STIKOM?,17
Apa kegiatan tambahan yang disediakan oleh STIKOM?,17
Bagaimana sistem penilaian di STIKOM?,17
Apa saja kegiatan non-akademik di STIKOM?,17
Jadwal kuliah di STIKOM gimana?,17
Apa aja sih kegiatan selama kuliah?,17
Bagaimana cara ikut kegiatan akademik?,17
Apa yang harus dilakukan selama kuliah?,17
Bagaimana cara cek jadwal akademik?,17
Apa aja sih kegiatan tambahan STIKOM?,17
Bagaimana sistem nilai di STIKOM?,17
Apa aja sih kegiatan non-akademik STIKOM?,17
Bisa pinjam buku di perpustakaan STIKOM nggak?,18
Apa saja yang bisa dipinjam di perpustakaan?,18
Berapa banyak buku yang boleh dipinjam?,18
Pinjam buku di STIKOM susah nggak?,18
Apakah semua buku di perpustakaan bisa dipinjam?,18
Buku apa yang tersedia untuk dipinjam?,18
Mahasiswa baru bisa pinjam buku nggak?,18
Pinjam buku di perpustakaan STIKOM bayar nggak?,18
Ada batasan pinjam buku di STIKOM?,18
Buku di perpustakaan STIKOM lengkap nggak?,18
Pinjam buku itu perlu kartu apa?,18
Bisa pinjam buku untuk semester ini?,18
Perpustakaan STIKOM punya buku digital nggak?,18
Pinjam buku di STIKOM lama nggak?,18
Apa saja koleksi buku yang bisa dipinjam?,18
Mahasiswa boleh pinjam berapa buku sekaligus?,18
Pinjam buku di perpustakaan itu ribet nggak?,18
Ada buku wajib yang bisa dipinjam?,18
Perpustakaan STIKOM izinkan pinjam buku lama nggak?,18
Pinjam buku di STIKOM harus ke mana?,18
apa akreditasi STIKOM saat ini?,19
bagaimana status akreditasi kampus STIKOM?,19
apakah STIKOM sudah terakreditasi A?,19
berapa nilai akreditasi program studi di STIKOM?,19
kapan terakhir kali STIKOM melakukan akreditasi?,19
STIKOM termasuk perguruan tinggi terakreditasi apa?,19
apakah akreditasi STIKOM masih berlaku?,19
dimana bisa cek akreditasi resmi STIKOM?,19
akreditasi prodi di STIKOM seperti apa?,19
berapa lama masa berlaku akreditasi STIKOM?,19
siapa rektor STIKOM sekarang?,20
nama pimpinan tertinggi di STIKOM siapa?,20
siapa yang memimpin STIKOM tahun ini?,20
bisakah kamu beri tahu nama dekan di STIKOM?,20
siapa wakil rektor STIKOM saat ini?,20
ada berapa pimpinan di STIKOM?,20
siapa kepala jurusan di STIKOM?,20
siapa yang bertanggung jawab atas manajemen STIKOM?,20
siapa pemimpin fakultas di STIKOM?,20
bisakah kamu jelaskan struktur pimpinan STIKOM?,20
tolong berikan gambaran struktur organisasi STIKOM.,21
bagaimana susunan manajemen di STIKOM?,21
apakah ada diagram struktur organisasi STIKOM?,21
bisa jelaskan hirarki kepemimpinan di STIKOM?,21
siapa saja yang termasuk dalam struktur organisasi STIKOM?,21
bagaimana pembagian tugas di struktur organisasi STIKOM?,21
dimana saya bisa melihat struktur organisasi STIKOM?,21
apakah struktur organisasi STIKOM tersedia online?,21
siapa yang menjabat di level manajemen STIKOM?,21
bisakah kamu beri detail tentang divisi di STIKOM?,21
siapa kaprodi prodi Sistem Informasi di STIKOM?,22
kaprodi Teknik Informatika STIKOM siapa?,22
siapa yang bertanggung jawab sebagai kaprodi di STIKOM?,22
boleh tahu nama kaprodi di jurusan Komputer STIKOM?,22
siapa kaprodi Manajemen Informatika di STIKOM?,22
kaprodi Akuntansi STIKOM siapa ya?,22
siapa pengelola program studi di STIKOM?,22
kaprodi di STIKOM itu jabatan apa?,22
siapa kaprodi paling senior di STIKOM?,22
bisakah kamu beri info lengkap tentang kaprodi STIKOM?,22
adakah unit kegiatan mahasiswa (UKM) di STIKOM?,23
organisasi kemahasiswaan apa saja yang ada di STIKOM?,23
apakah STIKOM memiliki komunitas atau organisasi kampus?,23
bisakah kamu beri info tentang organisasi internal STIKOM?,23
ada berapa organisasi mahasiswa di STIKOM?,23
organisasi apa yang paling aktif di STIKOM?,23
apakah ada organisasi olahraga di STIKOM?,23
bagaimana cara bergabung dengan organisasi di STIKOM?,23
organisasi seni di STIKOM ada nggak?,23
siapa yang mengelola organisasi mahasiswa di STIKOM?,23
apa saja pencapaian mahasiswa STIKOM?,24
